primaryGenreName,coppaRisk,developerCountry_freq,countryCode_freq,userRatingCount_scaled,averageUserRating_scaled,primaryGenreName_freq,log_min_winsor_scaled,log_max_winsor_scaled,deviceType_GLOBAL,deviceType_connected-tv/ott,deviceType_smartphone,deviceType_tablet,deviceType_undetermined,terms_service_combined_has_link_low,terms_service_combined_no_link,isCorporateEmail_missing_scaled,isCorporateEmailScore_scaled,appAge_scaled,appDescriptionBrandSafetyRating_high,appDescriptionBrandSafetyRating_low,appDescriptionBrandSafetyRating_medium
Sports,False,3,7,0.17295829151731054,1.092680150588561,54,-0.25290003858855353,-0.23158087708223932,False,False,True,False,False,True,False,-0.4395312079704648,1.262836399329126,2.7823995553317618,False,True,False
Medical,False,5107,5802,-0.058354637407978645,-0.9634320372796589,71,-0.9437819805380989,-0.848492991184399,True,False,False,False,False,False,True,-0.4395312079704648,1.262836399329126,-1.068769591646987,False,True,False
Games,False,39,5,0.03426216762780801,1.092680150588561,1785,2.833241605680064,2.6783144855846643,True,False,False,False,False,True,False,-0.4395312079704648,-0.7863749942547076,-0.7112316115017435,False,True,False
Games,False,35,5802,-0.05640968993504129,1.092680150588561,1785,-0.25290003858855353,-0.23158087708223932,True,False,False,False,False,False,True,-0.4395312079704648,1.262836399329126,0.38743409085066516,False,True,False
Tools,False,5107,5802,-0.058323851461014084,1.092680150588561,306,-0.037167968420760006,0.20108989677870398,True,False,False,False,False,False,True,-0.4395312079704648,1.262836399329126,-0.12821113657659994,False,True,False
Tools,False,5107,5802,-0.058354637407978645,-0.9634320372796589,306,-0.9437819805380989,-0.848492991184399,True,False,False,False,False,False,True,-0.4395312079704648,-0.7863749942547076,-0.5243775918641268,False,True,False
Games,True,5107,5802,-0.05792544508853158,-0.9634320372796589,1785,-0.25290003858855353,-0.23158087708223932,True,False,False,False,False,False,True,2.275151301809717,-0.8070740992404029,0.8383990809494676,False,True,False
Personalization,False,5107,5802,-0.058354637407978645,-0.9634320372796589,164,-0.9437819805380989,-1.6078841727924236,True,False,False,False,False,False,True,-0.4395312079704648,1.262836399329126,-0.8873055918092007,False,True,False
Business,False,5107,5802,-0.058354637407978645,-0.9634320372796589,423,-0.9437819805380989,-0.848492991184399,True,False,False,False,False,False,True,-0.4395312079704648,1.262836399329126,0.5149978929596496,False,True,False
Entertainment,False,5107,5802,-0.058354637407978645,-0.9634320372796589,428,-0.7520584005117228,-0.41774608717965867,True,False,False,False,False,False,True,-0.4395312079704648,-0.7863749942547076,0.38473908095074977,False,True,False
Lifestyle,False,5107,5802,-0.058354637407978645,-0.9634320372796589,340,-0.25290003858855353,-0.23158087708223932,True,False,False,False,False,False,True,2.275151301809717,-0.8070740992404029,1.2174971392160283,False,True,False
Education,True,5107,5802,-0.05831298583267366,0.578652103621506,499,0.6802319375807778,0.820361080894911,True,False,False,False,False,False,True,-0.4395312079704648,-0.7863749942547076,0.46289436804828926,False,True,False
